,predicates,pred_links
0,http://ddis.ch/atai/rating,http://ddis.ch/atai/rating
1,http://ddis.ch/atai/tag,http://ddis.ch/atai/tag
2,http://schema.org/description,http://schema.org/description
3,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label
4,applies to jurisdiction,http://www.wikidata.org/prop/direct/P1001
5,field of work,http://www.wikidata.org/prop/direct/P101
6,conferred by,http://www.wikidata.org/prop/direct/P1027
7,crew member(s),http://www.wikidata.org/prop/direct/P1029
8,native language,http://www.wikidata.org/prop/direct/P103
9,director / manager,http://www.wikidata.org/prop/direct/P1037
10,relative,http://www.wikidata.org/prop/direct/P1038
11,film editor,http://www.wikidata.org/prop/direct/P1040
12,medical condition,http://www.wikidata.org/prop/direct/P1050
13,product or material produced,http://www.wikidata.org/prop/direct/P1056
14,occupation,http://www.wikidata.org/prop/direct/P106
15,student of,http://www.wikidata.org/prop/direct/P1066
16,employer,http://www.wikidata.org/prop/direct/P108
17,from narrative universe,http://www.wikidata.org/prop/direct/P1080
18,founded by,http://www.wikidata.org/prop/direct/P112
19,political ideology,http://www.wikidata.org/prop/direct/P1142
20,home world,http://www.wikidata.org/prop/direct/P1165
21,place of burial,http://www.wikidata.org/prop/direct/P119
22,manner of death,http://www.wikidata.org/prop/direct/P1196
23,publisher,http://www.wikidata.org/prop/direct/P123
24,facet of,http://www.wikidata.org/prop/direct/P1269
25,owned by,http://www.wikidata.org/prop/direct/P127
26,depicted by,http://www.wikidata.org/prop/direct/P1299
27,located in the administrative territorial entity,http://www.wikidata.org/prop/direct/P131
28,partner in business or sport,http://www.wikidata.org/prop/direct/P1327
29,described by source,http://www.wikidata.org/prop/direct/P1343
30,participant in,http://www.wikidata.org/prop/direct/P1344
31,winner,http://www.wikidata.org/prop/direct/P1346
32,movement,http://www.wikidata.org/prop/direct/P135
33,genre,http://www.wikidata.org/prop/direct/P136
34,replaces,http://www.wikidata.org/prop/direct/P1365
35,replaced by,http://www.wikidata.org/prop/direct/P1366
36,operator,http://www.wikidata.org/prop/direct/P137
37,capital of,http://www.wikidata.org/prop/direct/P1376
38,named after,http://www.wikidata.org/prop/direct/P138
39,partially coincident with,http://www.wikidata.org/prop/direct/P1382
40,convicted of,http://www.wikidata.org/prop/direct/P1399
41,religion,http://www.wikidata.org/prop/direct/P140
42,nominated for,http://www.wikidata.org/prop/direct/P1411
43,"languages spoken, written or signed",http://www.wikidata.org/prop/direct/P1412
44,affiliation,http://www.wikidata.org/prop/direct/P1416
45,has pet,http://www.wikidata.org/prop/direct/P1429
46,executive producer,http://www.wikidata.org/prop/direct/P1431
47,published in,http://www.wikidata.org/prop/direct/P1433
48,takes place in fictional universe,http://www.wikidata.org/prop/direct/P1434
49,based on,http://www.wikidata.org/prop/direct/P144
50,present in work,http://www.wikidata.org/prop/direct/P1441
51,fictional universe described in,http://www.wikidata.org/prop/direct/P1445
52,list of works,http://www.wikidata.org/prop/direct/P1455
53,contains administrative territorial entity,http://www.wikidata.org/prop/direct/P150
54,country for sport,http://www.wikidata.org/prop/direct/P1532
55,has effect,http://www.wikidata.org/prop/direct/P1542
56,follows,http://www.wikidata.org/prop/direct/P155
57,has quality,http://www.wikidata.org/prop/direct/P1552
58,followed by,http://www.wikidata.org/prop/direct/P156
59,killed by,http://www.wikidata.org/prop/direct/P157
60,lifestyle,http://www.wikidata.org/prop/direct/P1576
61,lowest point,http://www.wikidata.org/prop/direct/P1589
62,headquarters location,http://www.wikidata.org/prop/direct/P159
63,cast member,http://www.wikidata.org/prop/direct/P161
64,MPAA film rating,http://www.wikidata.org/prop/direct/P1657
65,award received,http://www.wikidata.org/prop/direct/P166
66,country,http://www.wikidata.org/prop/direct/P17
67,creator,http://www.wikidata.org/prop/direct/P170
68,ethnic group,http://www.wikidata.org/prop/direct/P172
69,performer,http://www.wikidata.org/prop/direct/P175
70,developer,http://www.wikidata.org/prop/direct/P178
71,part of the series,http://www.wikidata.org/prop/direct/P179
72,image,http://www.wikidata.org/prop/direct/P18
73,depicts,http://www.wikidata.org/prop/direct/P180
74,choreographer,http://www.wikidata.org/prop/direct/P1809
75,owner of,http://www.wikidata.org/prop/direct/P1830
76,represented by,http://www.wikidata.org/prop/direct/P1875
77,after a work by,http://www.wikidata.org/prop/direct/P1877
78,different from,http://www.wikidata.org/prop/direct/P1889
79,place of birth,http://www.wikidata.org/prop/direct/P19
80,twinned administrative body,http://www.wikidata.org/prop/direct/P190
81,collection,http://www.wikidata.org/prop/direct/P195
82,FSK film rating,http://www.wikidata.org/prop/direct/P1981
83,health specialty,http://www.wikidata.org/prop/direct/P1995
84,place of death,http://www.wikidata.org/prop/direct/P20
85,basin country,http://www.wikidata.org/prop/direct/P205
86,located in or next to body of water,http://www.wikidata.org/prop/direct/P206
87,aspect ratio,http://www.wikidata.org/prop/direct/P2061
88,fabrication method,http://www.wikidata.org/prop/direct/P2079
89,sex or gender,http://www.wikidata.org/prop/direct/P21
90,box office,http://www.wikidata.org/prop/direct/P2142
91,father,http://www.wikidata.org/prop/direct/P22
92,uses,http://www.wikidata.org/prop/direct/P2283
93,indigenous to,http://www.wikidata.org/prop/direct/P2341
